标题,链接,日期,详情（前50字）
吴中平校长到岱山校区调研指导工作,https://www.zimc.cn/info/1060/40753.htm,2022-11-24,11月22日，校长吴中平率队到岱山校区调研指导工作，校党委委员、副校长曹志斌，办公室主任赵晖陪同调研
航海工程学院举行我与校长“面对面”座谈会,https://www.zimc.cn/info/1060/40763.htm,2022-11-25,11月23日下午，航海工程学院在海慧楼309党员活动室举行我与校长“面对面”座谈会。校长吴中平与20
我校一思政项目入选浙江省2023年“高校思想政治工作研究文库”,https://www.zimc.cn/info/1060/40774.htm,2022-11-28,11月22日，经学校申报、资格审核、专家评审等程序，浙江省教育厅公布了2023年度高校思想政治工作质
审计处一篇论文获全省内部审计理论课题研讨论文三等奖,https://www.zimc.cn/info/1060/40792.htm,2022-11-29,近日，浙江省内部审计协会公布了2022年度优秀内部审计论文、案例评审结果，我校审计处张莉莉同志撰写的
将绿色发展理念融入国际航道的起点——学校接受浙江省绿色学校…,https://www.zimc.cn/info/1060/40811.htm,2022-11-30,11月30日，浙江省绿色学校创建验收专家组陈华、蓝昌裕、钟斌、王立民、施宁舟一行莅临我校，对绿色学校
甬舟携手校校合作 共筑教育助力乡村振兴新高地,https://www.zimc.cn/info/1060/40824.htm,2022-12-02,12月1日，学校和宁波开放大学在宁波举行了“甬舟教育助力乡村振兴”签约仪式。校党委委员、副校长，舟山
李丽副校长应邀参加“后疫情时代航海职业教育国际化办学论坛”…,https://www.zimc.cn/info/1060/40773.htm,2022-11-26,11月25日下午，后疫情时代航海职业教育国际化办学论坛以线上线下相结合的方式顺利举办。本次论坛由中国
学校成为长三角应急安全创新人才培养联盟常务理事单位,https://www.zimc.cn/info/1060/40847.htm,2022-12-05,12月1日，长三角应急安全创新人才培养联盟成立仪式在温州召开。石油化工学院党支部书记张海波代表学校参
市委副书记高浩孟来校宣讲党的二十大精神,https://www.zimc.cn/info/1060/40772.htm,2022-11-25,11月25日下午，舟山市委副书记高浩孟在董浩云图书馆四楼报告厅宣讲党的二十大精神。学校党政领导班子和
我校在金砖国家职业技能大赛“无人机操作”赛项区域选拔赛中荣…,https://www.zimc.cn/info/1060/40745.htm,2022-11-23,近日，2022年金砖国家职业技能大赛“无人机操作”赛项区域选拔赛获奖名单公布，我校2支队伍参加，荣获
一封感谢信——感谢港口管理学院丁中海同学的善举,https://www.zimc.cn/info/1060/40770.htm,2022-11-25,11月25日清晨，港口管理学院收到了市民吴女士的一封感谢信，表扬和感谢2022级物流管理1班丁中海同
研课磨课 促进有效课堂建设——学校“领航”计划特训营暨有效…,https://www.zimc.cn/info/1060/39897.htm,2022-08-26,8月21日-22日，学校“领航”计划特训营暨有效课堂建设研修班第二阶段（教学设计）研修活动在图书楼四
